poblacion,ancho,largo,m2_predio,locales,niveles
688 847,97,57,5577,15,2
689 847,43,20,857,12,2
146147,74,43,3147,23,2
146147,185,36,6575,38,2
146147,63,27,1684,15,2
213199,51,27,1369,8,2
213199,35,34,1209,20,3
213199,54,48,2601,25,3
213199,61,28,1725,3,2
124623,19,61,1162,8,1
124623,131,13,1643,48,3
57610,12,25,301,1,2
57610,29,23,678,5,1
346336,121,83,9999,13,1
346336,116,20,2307,15,2
346336,23,20,459,6,1
346336,46,45,2101,7,1
346336,53,43,2285,17,2
346336,30,43,1289,7,2
346336,32,30,967,8,1
43012,63,39,2449,14,3
43012,28,21,599,10,2
43012,31,13,402,5,1
43012,24,16,388,14,3
43012,25,12,306,11,2
43012,13,11,145,3,2
43012,141,53,7520,11,1
43012,40,30,1218,18,2
53866,38,32,1203,6,1
53866,143,75,10675,16,1
53866,30,28,843,10,1
53866,46,36,1667,12,1
53866,100,18,1815,14,1
122627,98,88,8588,26,3
122627,68,98,6670,52,3
122627,76,36,2745,5,1
122627,76,43,3224,18,3
122627,135,83,11251,35,3
122627,76,74,5667,11,6
122627,43,31,1362,5,1
122627,78,74,5785,31,2
122627,49,28,1375,17,3
122627,70,58,4058,23,3
122627,36,29,1043,10,3
122627,88,60,5327,39,4
122627,78,42,3241,8,1
443273,65,28,1818,28,2
443273,146,98,14249,31,2
443273,82,83,6805,30,2
443273,167,141,23643,10,1
443273,61,49,3008,15,3
443273,40,39,1536,12,2
443273,88,42,3684,6,1
443273,30,21,636,12,2
443273,52,21,1075,24,2
443273,47,24,1134,14,2
443273,33,20,652,15,2
1136000,44,34,1499,15,3
1136000,59,35,2103,12,2
1136000,62,29,1780,15,2
1136000,53,62,3297,20,1
1136000,35,19,667,13,2
1136000,58,27,1563,30,3
1136000,31,37,1172,11,2
1136000,31,24,750,8,3
1136000,67,28,1894,16,2
1136000,84,91,7643,37,2
1136000,40,25,996,11,2
467157,73,55,4014,16,2
467157,44,40,1769,11,2
467157,72,49,3491,16,2
467157,46,47,2125,15,2
467157,28,74,2028,7,2
467157,151,58,8814,17,2
203342,53,19,999,15,1
203342,145,118,17084,14,2
203342,132,98,12960,29,2
